topicId	keywords	keywordScores
1	37.94739907548431	pony
1	34.02417637455294	main
1	33.96268946412796	snowclone
1	33.31480797125549	side
1	31.91920059734316	magic
1	31.546136499197093	context
1	31.445227889133463	variety
1	30.17745276759202	opening
1	27.58961135285391	specific
1	27.20363272166995	fandom
2	31.870352929009023	baby
2	26.801540628260476	creature
2	26.730005908843804	dress
2	23.624676216098454	actor
2	22.777144677547177	country
2	21.492551042532014	chan
2	21.403867681095186	father
2	20.55385224873089	smile
2	20.121416373042234	death
2	19.377582410363605	stand
3	45.43113248528108	team
3	39.44335520110844	poop
3	35.51555493195454	nintendo
3	33.25470293154923	super
3	31.113213612252007	mario
3	28.636216678542176	popularize
3	27.642105756249112	produce
3	27.5274607707276	theme
3	27.369654722422574	http
3	25.230525182948437	videos
4	36.596752268008764	white
4	32.31966440307216	gifs
4	31.30260100558295	pair
4	28.886773984018003	advice
4	28.56541247239595	young
4	25.494340516315013	male
4	25.141829901443323	pokemon
4	24.952084867205432	band
4	23.710100566875504	attention
4	23.092806412074573	house
5	43.54322314498966	rage
5	32.70167940623771	sound
5	31.347290669506325	express
5	28.997307099692986	screen
5	28.612012538728624	stop
5	28.581673751298244	bear
5	28.27527427890365	ytmnd
5	27.515391099998546	consist
5	25.25252428344494	without
5	24.639439529662603	action
6	84.95786447632302	dance
6	68.53729407174818	nico
6	37.97006818774886	service
6	34.85039576998871	pokémon
6	34.48578525327005	douga
6	33.42649962915033	commercial
6	29.324503521269037	vine
6	25.923842571487274	perform
6	25.743379768969973	rise
6	25.463631452042453	rapper
7	35.64655028034472	campaign
7	33.36341029800914	good
7	28.044776493535178	family
7	26.182923823942133	company
7	25.827932529850845	body
7	24.54947457761533	memorable
7	22.547087718927898	circulate
7	21.975499425052348	viewer
7	21.89467082153868	widely
7	21.586087090308645	mother
8	34.803072579764915	wars
8	26.423096655278176	small
8	25.52329502817346	chinese
8	25.262265809726532	pane
8	23.12117416748921	science
8	21.863928598078225	role
8	21.801123751445214	simply
8	21.424084812039982	fashion
8	20.89368208096118	piece
8	20.610233321173876	playing
9	50.53044050054086	trump
9	46.080910809800955	spongebob
9	43.56859543315763	united
9	40.231455312239724	donald
9	38.92623251174816	states
9	33.05004044928149	presidential
9	30.833577586618816	president
9	30.775764066384003	squarepants
9	29.485809623880172	practice
9	27.80208444788312	template
10	35.72747442646451	challenge
10	34.922657782216874	illustration
10	32.4284392849968	celebrity
10	31.475815132315095	situation
10	29.89415598194537	manga
10	29.1348053659621	grow
10	28.775381163550428	high
10	28.159338644131783	singer
10	28.11595653011554	hand
10	27.41014291483783	school
