topicId	keywords	keywordScores
1	37.18132643984844	pony
1	30.95338746607628	magic
1	28.05400510577842	memorable
1	26.288300228026483	friendship
1	25.764640765521218	pokemon
1	24.730612556662933	uttered
1	23.051676088343044	comedy
1	22.762148177104166	science
1	21.824272501809695	gifs
1	21.283960139866135	audio
2	31.958816167800773	challenge
2	28.804990748264224	chinese
2	26.347914161300125	camera
2	25.765637200692293	used
2	25.753169601635552	participant
2	24.732973782856032	played
2	22.451493848131534	pose
2	22.43149473391736	troll
2	22.13067473778491	body
2	20.888468762584615	screen
3	131.6104118714699	used
3	54.90530761025585	slang
3	42.25722633378342	template
3	41.47329012208152	rage
3	34.95021268025928	commonly
3	31.363950360132982	involves
3	31.183865606029638	associated
3	31.005699931917093	team
3	29.24052048907316	express
3	27.73413480940016	animation
4	49.250554293283344	used
4	37.885999850644225	started
4	35.76342120138165	super
4	29.86262675615612	mario
4	29.448237151850698	school
4	27.59953590695283	high
4	27.392140265949585	feeling
4	26.68234941373157	student
4	26.536990400639123	ytmnd
4	26.526368347862896	holding
5	46.239566982854775	spongebob
5	30.817817074141953	squarepants
5	27.270264835035594	side
5	25.795140118121314	http
5	25.745777471838828	creature
5	23.655860933255756	band
5	23.025024930722687	webcomic
5	20.236518743722527	mother
5	19.82391537178164	running
5	18.30543530830711	appearing
6	53.0819704304369	used
6	42.87504718007983	featuring
6	37.1199995469497	book
6	36.36072661645609	depicting
6	35.77632868383975	panel
6	33.967398015585744	pokémon
6	29.917852811595562	looking
6	29.75787231868504	videos
6	29.468234851615723	based
6	28.255052226295756	poop
7	64.82887257533363	dance
7	43.871752308755575	commercial
7	39.315314508114334	vine
7	35.09964051626272	opening
7	34.23687565676568	sound
7	32.364354050287204	dancing
7	30.390310074475778	lyric
7	28.795198716748963	saying
7	27.14846411866168	company
7	26.524312703495948	uploaded
8	53.08247357357098	advice
8	50.82928897022389	featuring
8	45.41330454527314	young
8	37.42116975990541	white
8	33.851789896795424	actor
8	30.738218190959937	wearing
8	24.944095519897434	theory
8	22.898641117220485	stop
8	21.748558043829895	human
8	21.642699168347967	project
9	49.182359818490866	trump
9	45.44749425434033	united
9	43.095608558368475	nickname
9	40.66466575651336	states
9	39.33361804710247	given
9	39.279846624634665	donald
9	35.750496046963534	president
9	32.34974462633981	presidential
9	29.176477043516094	death
9	28.509330848912303	wars
10	66.20863756441874	nico
10	38.032227584792615	sharing
10	33.24825995667681	douga
10	32.6362629170034	released
10	30.824481279137633	service
10	30.750785151602823	baby
10	28.91076938631511	drawn
10	26.41751095690828	season
10	26.142936401513463	made
10	24.782897375172112	theme
